Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
BURU,Nuburu Inc. Common Stock,$0.1691,-0.0234,-12.156%,20640402.00,United States,,22815114,Miscellaneous,Industrial Machinery/Components
CANF,Can-Fite Biopharma Ltd American Depositary Shares each representing two (2) Ordinary Shares,$3.43,-0.15,-4.19%,4490597.00,Israel,,44380,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$4.95,-0.27,-5.172%,563970508.00,United States,,1556659,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$2.94,0.05,1.73%,23682141.00,United States,2022,16574,Health Care,Misc Health and Biotechnology Services
CET,Central Securities Corporation Common Stock,$50.56,0.01,0.02%,12236794112.00,United States,1951,30582,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.45,-0.01,-0.096%,73500859.00,United States,1999,3627,Finance,Finance/Investors Services
CHOW,ChowChow Cloud International Holdings Limited Ordinary Shares,$0.4585,-0.0182,-3.818%,16093350.00,,2025,174439,Technology,Computer Software: Prepackaged Software
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$2.58,0.02,0.781%,0.00,United States,,176711,Finance,Finance/Investors Services
CITR,CitroTech Inc. Common Stock,$7.77,-0.72,-8.481%,146101097.00,,,93372,Industrials,Environmental Services
CIX,CompX International Inc. Common Stock,$23.21,-0.06,-0.258%,286018153.00,United States,1998,6062,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$10.75,0.00,0.00%,22071137.00,United States,2003,112,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.3135,-0.0105,-3.241%,2309553.00,,2021,233065,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Investment Fund Inc. Common Shares,$7.39,0.00,0.00%,0.00,United States,2003,1223335,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$24.85,-0.70,-2.74%,479475382.00,Canada,,150954,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$20.46,0.71,3.595%,180727906.00,United States,1996,25518,Industrials,Plastic Products
CNL,Collective Mining Ltd. Common Shares,$16.64,-0.30,-1.771%,1535285423.00,,2024,63617,,
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$19.3001,-0.1999,-1.025%,113088453.00,China,2016,2968,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$16.73,-0.28,-1.646%,40964392.00,United States,,10620,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.6106,-0.0094,-1.516%,3066434.00,China,,26105,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.13,0.05,0.706%,0.00,United States,2003,721978,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$21.25,-1.48,-6.511%,357453071.00,United States,2021,421525,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.8156,-0.0094,-1.139%,77166159.00,,2022,633671,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$3.60,0.07,1.983%,30448681.00,United States,1997,24174,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$14.25,-0.25,-1.724%,13767381.00,United States,1930,6363,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$4.46,0.02,0.45%,58806211.00,United States,2022,78427,Industrials,Military/Government/Technical
DC,Dakota Gold Corp. Common Stock,$5.42,-0.16,-2.867%,613880549.00,United States,2022,2073094,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$2.30,0.00,0.00%,56144219.00,,2023,81728,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Credit Fund Common Stock,$1.89,0.04,2.162%,0.00,United States,1998,666273,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$115.90,0.00,0.00%,75417173.00,United States,1999,291,Consumer Discretionary,Food Distributors
DNN,Denison Mines Corp Ordinary Shares (Canada),$3.71,0.05,1.366%,3349996269.00,Canada,,31265182,Basic Materials,Other Metals and Minerals
DSS,DSS Inc. Common Stock,$0.961,0.021,2.234%,8737910.00,United States,,20486,Consumer Discretionary,Containers/Packaging
DVS,Dolly Varden Silver Corporation Common Shares,$3.56,-0.24,-6.316%,327518117.00,,2025,1646393,,
